Nodes,Edges,Deg Max,Deg Mean,Deg STD,Clustering,Size,Time,Algorithm
51,231,12,9.058823529411764,2.2701106883774593,0.8374840845429073,13,0.0009751319885253906,G&K-2
618,1008,6,3.262135922330097,1.0012403154225191,0.48565264293419574,419,0.08989858627319336,G&K-2
567,2051,11,7.234567901234568,2.273147624315815,0.7499353576073174,215,0.06106138229370117,G&K-2
509,4528,26,17.791748526522593,5.028782645872955,0.85453748949086,85,0.03941774368286133,G&K-2
498,10018,50,40.23293172690763,8.946177743833086,0.908713202712729,41,0.0473170280456543,G&K-2
5487,19310,12,7.038454528886459,2.1934377872375768,0.7515741260137087,2106,10.990588188171387,G&K-2
5040,46641,27,18.508333333333333,5.003523560039766,0.8625470089783921,888,5.820378303527832,G&K-2
4985,95918,54,38.482647943831495,9.061859727151596,0.8915320000351015,452,2.8651461601257324,G&K-2
4876,489286,247,200.6915504511895,35.67354974962319,0.9159612023631626,91,4.219438076019287,G&K-2
4809,954461,484,396.9478061967145,69.89439781101186,0.9213482408509346,44,8.002708673477173,G&K-2
9,11,4,2.4444444444444446,1.0657403385139377,0.48148148148148145,4,0.0002288818359375,GT
7,6,2,1.7142857142857142,0.45175395145262565,0.0,5,0.000148773193359375,GT
80,79,2,1.975,0.15612494995995996,0.0,78,0.0005981922149658203,GT
61,98,5,3.2131147540983607,1.0261299904609065,0.4683060109289616,40,0.0005154609680175781,GT
53,198,10,7.471698113207547,1.958086990810507,0.8088050314465413,16,0.0005476474761962891,GT
51,231,12,9.058823529411764,2.2701106883774593,0.8374840845429073,13,0.0007052421569824219,GT
618,1008,6,3.262135922330097,1.0012403154225191,0.48565264293419574,419,0.009515047073364258,GT
567,2051,11,7.234567901234568,2.273147624315815,0.7499353576073174,213,0.007909297943115234,GT
509,4528,26,17.791748526522593,5.028782645872955,0.85453748949086,85,0.011507749557495117,GT
498,10018,50,40.23293172690763,8.946177743833086,0.908713202712729,39,0.019023895263671875,GT
5487,19310,12,7.038454528886459,2.1934377872375768,0.7515741260137087,2090,0.322983980178833,GT
5040,46641,27,18.508333333333333,5.003523560039766,0.8625470089783921,867,0.17348408699035645,GT
4985,95918,54,38.482647943831495,9.061859727151596,0.8915320000351015,433,0.2592737674713135,GT
4876,489286,247,200.6915504511895,35.67354974962319,0.9159612023631626,85,0.8857262134552002,GT
4809,954461,484,396.9478061967145,69.89439781101186,0.9213482408509346,41,1.8278119564056396,GT
