Nodes,Edges,Deg Max,Deg Mean,Deg STD,Clustering,Size,Time,Algorithm
100,1200,27,24.0,1.4212670403551895,0.5611955229616556,6,0.0008521080017089844,G&K-1B
100,1200,29,24.0,2.328089345364563,0.38186741868116514,7,0.0005960464477539062,G&K-1B
100,1200,31,24.0,2.925747767665559,0.2671559957819511,7,0.0005838871002197266,G&K-1B
100,1200,31,24.0,3.3436506994600976,0.24321650892731597,8,0.0006241798400878906,G&K-1B
100,1200,34,24.0,3.765634076752546,0.24033003434273098,7,0.0006308555603027344,G&K-1B
1000,22000,51,44.0,2.0114671262538697,0.5442216810996244,40,0.010562896728515625,G&K-1B
1000,22000,54,44.0,3.046637490742868,0.32542349663911463,45,0.0162811279296875,G&K-1B
1000,22000,57,44.0,4.056106507477337,0.12294011834964869,47,0.01811671257019043,G&K-1B
1000,22000,59,44.0,4.459820624195552,0.05150368026218884,48,0.029156923294067383,G&K-1B
1000,22000,60,44.0,4.650161287525412,0.04379129811170567,46,0.018078327178955078,G&K-1B
1000,28000,64,56.0,2.3983327542274027,0.5423003200157566,32,0.017993450164794922,G&K-1B
1000,28000,67,56.0,3.5863630602603522,0.33501556268051985,37,0.021281957626342773,G&K-1B
1000,28000,68,56.0,4.382236871735712,0.12976942565287994,41,0.02416205406188965,G&K-1B
1000,28000,73,56.0,5.039642844488089,0.061992511882508636,41,0.023328065872192383,G&K-1B
1000,28000,74,56.0,5.1755192976164235,0.05531776496735068,39,0.023434162139892578,G&K-1B
1000,39000,86,78.0,2.6374229846575616,0.5501301113843572,26,0.04247093200683594,G&K-1B
1000,39000,90,78.0,4.052900196155834,0.3408753618218408,28,0.02878260612487793,G&K-1B
1000,39000,99,78.0,5.439301425734742,0.14692878348802788,30,0.03277468681335449,G&K-1B
1000,39000,102,78.0,6.2425956140054435,0.08417466895708822,30,0.03238677978515625,G&K-1B
1000,39000,95,78.0,5.981805747431121,0.07735104270825648,31,0.06181669235229492,G&K-1B
1000,60000,130,120.0,3.279939023823461,0.558453520597757,18,0.039749860763549805,G&K-1B
1000,60000,136,120.0,4.948939280290273,0.3542863207181523,19,0.0463404655456543,G&K-1B
1000,60000,141,120.0,6.58923364284497,0.17779759154019273,21,0.0491480827331543,G&K-1B
1000,60000,144,120.0,7.202916076145827,0.12358076114541777,22,0.04713916778564453,G&K-1B
1000,60000,143,120.0,7.367224714911308,0.11954227964436488,22,0.04747438430786133,G&K-1B
10000,790000,172,158.0,3.8621237680840834,0.5458272547377635,133,0.5342330932617188,G&K-1B
10000,790000,179,158.0,5.920675637121156,0.31937205106883976,155,0.6297688484191895,G&K-1B
10000,790000,189,158.0,7.572014263061051,0.10387315385890765,172,0.7653870582580566,G&K-1B
10000,790000,195,158.0,8.603964202621952,0.026129471965542307,179,0.9657008647918701,G&K-1B
10000,790000,190,158.0,8.752188297791587,0.016259608044155993,181,1.0166308879852295,G&K-1B
10000,1090000,238,218.0,4.550252740233228,0.5462289834491982,99,0.9361484050750732,G&K-1B
10000,1090000,249,218.0,6.873572579088694,0.3228654928309734,117,1.1074540615081787,G&K-1B
10000,1090000,253,218.0,9.060938141274335,0.10789322381509094,133,1.8708982467651367,G&K-1B
10000,1090000,257,218.0,10.02832987092068,0.03169035341102787,138,1.9424896240234375,G&K-1B
10000,1090000,256,218.0,10.408563781809669,0.022233746764744124,140,1.2973051071166992,G&K-1B
10000,1650000,351,330.0,5.604016416821064,0.5491427695594174,68,2.2711985111236572,G&K-1B
10000,1650000,361,330.0,8.456169345513368,0.3256064110749904,82,2.6213791370391846,G&K-1B
10000,1650000,378,330.0,11.197848007541449,0.11572426812886935,94,1.8273017406463623,G&K-1B
10000,1650000,377,330.0,12.420289851690258,0.04220778612307966,100,2.233893394470215,G&K-1B
10000,1650000,377,330.0,12.795553915325433,0.033367754668733686,100,2.995424270629883,G&K-1B
10000,2970000,626,594.0,7.428351095633539,0.5518287254233601,41,3.075165271759033,G&K-1B
10000,2970000,641,594.0,11.267936812034401,0.335078869436857,51,3.5346145629882812,G&K-1B
10000,2970000,663,594.0,14.680592631089523,0.13460146751616353,58,4.0042266845703125,G&K-1B
10000,2970000,665,594.0,16.423866779781186,0.06705383738009048,62,4.313835859298706,G&K-1B
10000,2970000,661,594.0,17.006322353760087,0.05958584584682966,62,4.394879341125488,G&K-1B
10,20,6,4.0,0.7745966692414834,0.4999999999999999,3,0.00017905235290527344,G&K-1M
10,20,5,4.0,0.7745966692414834,0.45,4,9.441375732421875e-05,G&K-1M
10,20,5,4.0,0.6324555320336759,0.4033333333333333,3,0.00011563301086425781,G&K-1M
10,20,6,4.0,1.0954451150103321,0.2833333333333333,3,8.416175842285156e-05,G&K-1M
10,20,7,4.0,1.4832396974191326,0.4314285714285714,3,7.581710815429688e-05,G&K-1M
10,20,5,4.0,0.6324555320336759,0.38666666666666666,3,9.465217590332031e-05,G&K-1M
10,20,6,4.0,0.8944271909999159,0.4033333333333333,2,8.034706115722656e-05,G&K-1M
10,20,6,4.0,1.0,0.31,3,9.655952453613281e-05,G&K-1M
10,20,6,4.0,1.0954451150103321,0.29,3,9.059906005859375e-05,G&K-1M
10,20,7,4.0,1.61245154965971,0.3980952380952381,2,8.034706115722656e-05,G&K-1M
100,600,15,12.0,1.1575836902790226,0.49643256743256736,12,0.0025844573974609375,G&K-1M
100,600,18,12.0,1.794435844492636,0.32351578323637137,14,0.0031652450561523438,G&K-1M
100,600,17,12.0,2.1400934559032696,0.1599729633111985,13,0.004117012023925781,G&K-1M
100,600,18,12.0,2.328089345364563,0.12191659974012904,13,0.0043201446533203125,G&K-1M
100,600,20,12.0,2.3832750575625967,0.1025073724864746,13,0.004200458526611328,G&K-1M
100,700,17,14.0,1.1832159566199232,0.49537361984420814,10,0.0029282569885253906,G&K-1M
100,700,18,14.0,1.833030277982336,0.34868537018537005,11,0.00324249267578125,G&K-1M
100,700,20,14.0,2.3194827009486403,0.19918907932452823,11,0.0045506954193115234,G&K-1M
100,700,20,14.0,2.4859605789312105,0.1360092266694433,12,0.005521535873413086,G&K-1M
100,700,21,14.0,2.4859605789312105,0.1269414840405552,11,0.0050733089447021484,G&K-1M
100,900,23,18.0,1.224744871391589,0.5357709017661569,9,0.0042188167572021484,G&K-1M
100,900,22,18.0,1.96468827043885,0.3162520273843803,9,0.006678342819213867,G&K-1M
100,900,27,18.0,2.4083189157584592,0.20456965080282477,9,0.009866714477539062,G&K-1M
100,900,24,18.0,2.716615541441225,0.18040170601373312,9,0.0067903995513916016,G&K-1M
100,900,23,18.0,2.6795522013948525,0.16643492391008874,10,0.009790658950805664,G&K-1M
100,1200,27,24.0,1.4212670403551895,0.5611955229616556,6,0.004920005798339844,G&K-1M
100,1200,29,24.0,2.328089345364563,0.38186741868116514,7,0.009111642837524414,G&K-1M
100,1200,31,24.0,2.925747767665559,0.2671559957819511,7,0.01112508773803711,G&K-1M
100,1200,31,24.0,3.3436506994600976,0.24321650892731597,8,0.012476205825805664,G&K-1M
100,1200,34,24.0,3.765634076752546,0.24033003434273098,7,0.011620283126831055,G&K-1M
1000,22000,51,44.0,2.0114671262538697,0.5442216810996244,40,0.1781296730041504,G&K-1M
1000,22000,54,44.0,3.046637490742868,0.32542349663911463,44,0.35915040969848633,G&K-1M
1000,22000,57,44.0,4.056106507477337,0.12294011834964869,46,0.8882341384887695,G&K-1M
1000,22000,59,44.0,4.459820624195552,0.05150368026218884,48,1.26625394821167,G&K-1M
1000,22000,60,44.0,4.650161287525412,0.04379129811170567,48,0.7963788509368896,G&K-1M
1000,28000,64,56.0,2.3983327542274027,0.5423003200157566,34,0.27121973037719727,G&K-1M
1000,28000,67,56.0,3.5863630602603522,0.33501556268051985,36,0.5338447093963623,G&K-1M
1000,28000,68,56.0,4.382236871735712,0.12976942565287994,40,1.0144250392913818,G&K-1M
1000,28000,73,56.0,5.039642844488089,0.061992511882508636,39,1.379852533340454,G&K-1M
1000,28000,74,56.0,5.1755192976164235,0.05531776496735068,39,1.2712266445159912,G&K-1M
1000,39000,86,78.0,2.6374229846575616,0.5501301113843572,25,0.8819549083709717,G&K-1M
1000,39000,90,78.0,4.052900196155834,0.3408753618218408,27,1.0157573223114014,G&K-1M
1000,39000,99,78.0,5.439301425734742,0.14692878348802788,30,1.9959557056427002,G&K-1M
1000,39000,102,78.0,6.2425956140054435,0.08417466895708822,30,2.3392562866210938,G&K-1M
1000,39000,95,78.0,5.981805747431121,0.07735104270825648,31,3.2869365215301514,G&K-1M
1000,60000,130,120.0,3.279939023823461,0.558453520597757,18,0.971186637878418,G&K-1M
1000,60000,136,120.0,4.948939280290273,0.3542863207181523,19,3.130545139312744,G&K-1M
1000,60000,141,120.0,6.58923364284497,0.17779759154019273,21,4.4117677211761475,G&K-1M
1000,60000,144,120.0,7.202916076145827,0.12358076114541777,22,6.272676944732666,G&K-1M
1000,60000,143,120.0,7.367224714911308,0.11954227964436488,22,5.427589416503906,G&K-1M
10000,790000,172,158.0,3.8621237680840834,0.5458272547377635,131,19.172836303710938,G&K-1M
10000,790000,179,158.0,5.920675637121156,0.31937205106883976,152,50.65577530860901,G&K-1M
10000,790000,189,158.0,7.572014263061051,0.10387315385890765,172,105.0594253540039,G&K-1M
10000,790000,195,158.0,8.603964202621952,0.026129471965542307,178,162.957270860672,G&K-1M
10000,790000,190,158.0,8.752188297791587,0.016259608044155993,178,172.93995451927185,G&K-1M
10000,1090000,238,218.0,4.550252740233228,0.5462289834491982,102,37.52623271942139,G&K-1M
10000,1090000,249,218.0,6.873572579088694,0.3228654928309734,115,91.61310315132141,G&K-1M
10000,1090000,253,218.0,9.060938141274335,0.10789322381509094,131,206.75581216812134,G&K-1M
10000,1090000,257,218.0,10.02832987092068,0.03169035341102787,138,291.2453143596649,G&K-1M
10000,1090000,256,218.0,10.408563781809669,0.022233746764744124,139,310.60292768478394,G&K-1M
10000,1650000,351,330.0,5.604016416821064,0.5491427695594174,69,100.52689337730408,G&K-1M
10000,1650000,361,330.0,8.456169345513368,0.3256064110749904,83,248.39361190795898,G&K-1M
10000,1650000,378,330.0,11.197848007541449,0.11572426812886935,95,541.3056478500366,G&K-1M
10000,1650000,377,330.0,12.420289851690258,0.04220778612307966,100,754.2500166893005,G&K-1M
10000,1650000,377,330.0,12.795553915325433,0.033367754668733686,100,787.566668510437,G&K-1M
10000,2970000,626,594.0,7.428351095633539,0.5518287254233601,41,216.06983971595764,G&K-1M
10000,2970000,641,594.0,11.267936812034401,0.335078869436857,51,585.7847375869751,G&K-1M
10000,2970000,663,594.0,14.680592631089523,0.13460146751616353,58,1355.05064702034,G&K-1M
10000,2970000,665,594.0,16.423866779781186,0.06705383738009048,62,2032.2605500221252,G&K-1M
10000,2970000,661,594.0,17.006322353760087,0.05958584584682966,62,2114.0717861652374,G&K-1M
10,20,6,4.0,0.7745966692414834,0.4999999999999999,3,0.00013446807861328125,G&K-2
10,20,5,4.0,0.7745966692414834,0.45,4,0.00037741661071777344,G&K-2
10,20,5,4.0,0.6324555320336759,0.4033333333333333,4,0.00011515617370605469,G&K-2
10,20,6,4.0,1.0954451150103321,0.2833333333333333,3,9.417533874511719e-05,G&K-2
10,20,7,4.0,1.4832396974191326,0.4314285714285714,3,9.369850158691406e-05,G&K-2
10,20,5,4.0,0.6324555320336759,0.38666666666666666,3,0.0001304149627685547,G&K-2
10,20,6,4.0,0.8944271909999159,0.4033333333333333,2,8.678436279296875e-05,G&K-2
10,20,6,4.0,1.0,0.31,3,9.250640869140625e-05,G&K-2
10,20,6,4.0,1.0954451150103321,0.29,3,9.965896606445312e-05,G&K-2
10,20,7,4.0,1.61245154965971,0.3980952380952381,2,9.012222290039062e-05,G&K-2
100,600,15,12.0,1.1575836902790226,0.49643256743256736,14,0.0027909278869628906,G&K-2
100,600,18,12.0,1.794435844492636,0.32351578323637137,14,0.002496480941772461,G&K-2
100,600,17,12.0,2.1400934559032696,0.1599729633111985,13,0.002639293670654297,G&K-2
100,600,18,12.0,2.328089345364563,0.12191659974012904,12,0.002601146697998047,G&K-2
100,600,20,12.0,2.3832750575625967,0.1025073724864746,12,0.0024149417877197266,G&K-2
100,700,17,14.0,1.1832159566199232,0.49537361984420814,12,0.002578258514404297,G&K-2
100,700,18,14.0,1.833030277982336,0.34868537018537005,12,0.0025827884674072266,G&K-2
100,700,20,14.0,2.3194827009486403,0.19918907932452823,11,0.002674579620361328,G&K-2
100,700,20,14.0,2.4859605789312105,0.1360092266694433,12,0.003271341323852539,G&K-2
100,700,21,14.0,2.4859605789312105,0.1269414840405552,11,0.002978086471557617,G&K-2
100,900,23,18.0,1.224744871391589,0.5357709017661569,10,0.0030896663665771484,G&K-2
100,900,22,18.0,1.96468827043885,0.3162520273843803,10,0.0035178661346435547,G&K-2
100,900,27,18.0,2.4083189157584592,0.20456965080282477,10,0.0034449100494384766,G&K-2
100,900,24,18.0,2.716615541441225,0.18040170601373312,9,0.0028586387634277344,G&K-2
100,900,23,18.0,2.6795522013948525,0.16643492391008874,9,0.003487825393676758,G&K-2
100,1200,27,24.0,1.4212670403551895,0.5611955229616556,8,0.0034723281860351562,G&K-2
100,1200,29,24.0,2.328089345364563,0.38186741868116514,7,0.003376007080078125,G&K-2
100,1200,31,24.0,2.925747767665559,0.2671559957819511,8,0.003450632095336914,G&K-2
100,1200,31,24.0,3.3436506994600976,0.24321650892731597,7,0.003975391387939453,G&K-2
100,1200,34,24.0,3.765634076752546,0.24033003434273098,8,0.0046389102935791016,G&K-2
1000,22000,51,44.0,2.0114671262538697,0.5442216810996244,42,0.10300087928771973,G&K-2
1000,22000,54,44.0,3.046637490742868,0.32542349663911463,43,0.11447572708129883,G&K-2
1000,22000,57,44.0,4.056106507477337,0.12294011834964869,46,0.37686896324157715,G&K-2
1000,22000,59,44.0,4.459820624195552,0.05150368026218884,48,0.20317721366882324,G&K-2
1000,22000,60,44.0,4.650161287525412,0.04379129811170567,49,0.15611863136291504,G&K-2
1000,28000,64,56.0,2.3983327542274027,0.5423003200157566,33,0.12494754791259766,G&K-2
1000,28000,67,56.0,3.5863630602603522,0.33501556268051985,35,0.1457962989807129,G&K-2
1000,28000,68,56.0,4.382236871735712,0.12976942565287994,40,0.14606285095214844,G&K-2
1000,28000,73,56.0,5.039642844488089,0.061992511882508636,39,0.1524982452392578,G&K-2
